Title,Directors,Year
Les Félins,René Clément,1964
Le Château de verre,René Clément,1950
Les Terreurs de l'Ouest,Marino Girolami,1964
Hors du monde,Marc Fouchard,2020
Le Père Noël contre les martiens,Nicholas Webster,1964
Tatarak,Andrzej Wajda,2009
Un Carnet de bal,Julien Duvivier,1937
The Communion Girl,Víctor García,2022
The Machinist,Brad Anderson,2003
Tir groupé,Jean-Claude Missiaen,1982
L'autre femme,François Villiers,1964
Nekromantik,Jörg Buttgereit,1987
Gardiens de l'ordre,Nicolas Boukhrief,2010
Demain et tous les autres jours,Noémie Lvovsky,2018
Péril en la demeure,Michel Deville,1985
Le Retour de Ringo,Duccio Tessari,1965
Nos jours heureux,"Eric Toledano,Olivier Nakache",2006
The Other Side,"Tord Danielsson,Oskar Mellander",2020
Un soir de réveillon,Karl Anton,1933
Ghost Therapy,Clay Tatum,2022
Car Crash - Revivre ou périr,Sun-ho Cho,2017
Amants super-héroïques,Paolo Genovese,2021
Mères et filles,Julie Lopes-Curval,2009
Z,Constantin Costa-Gavras,1969
Typhoon Club,Shinji Sômai,1985
Un amour de Swann,Volker Schlöndorff,1984
Crimes au musée des horreurs,Arthur Crabtree,1959
Genius,Michael Grandage,2016
"Exotica, Erotica, Etc.",Evangelia Kranioti,2016
Le Grand Pardon,Alexandre Arcady,1982
Berlin Boys,David Wnendt,2023
Le Jour et l'heure,René Clément,1962
La Guerre des Miss,Patrice Leconte,2009
Pot-Bouille,Julien Duvivier,1957
The Riot Club,Lone Scherfig,2013
"Allô Berlin, ici Paris",Julien Duvivier,1932
La Légende de Kaspar Hauser,Davide Manuli,2011
Harem,Arthur Joffé,1985
L'Île inconnue,Jack Bernhard,1948
Keaton en quatre,"Eddie Cline,Buster Keaton",1922
Les Affluents,Jessé Miceli,2020
Beau rivage,Julien Donada,2010
Azor,Andreas Fontana,2021
Salvatore Giuliano,Francesco Rosi,1962
Matthias et Maxime,Xavier Dolan,2019
Evil Boy,Olga Gorodetskaya,2019
"Vous êtes jeunes, vous êtes beaux",Franchin Don,2018
Les Enfants d'Isadora,Damien Manivel,2019
En mille morceaux,Véronique Mériadec,2018
Martin Eden,Pietro Marcello,2019
Camille,Boris Lojkine,2019
Port Authority,Danielle Lessovitz,2019
Best of Chéries Chéris volume 6,,2019
Chambre 212,Christophe Honoré,2019
L'Angle mort,"Patrick-Mario Bernard,Pierre Trividic",2019
Menocchio,Alberto Fasulo,2018
Depardieu par Mocky,Jean-Pierre Mocky,2015
Viaje,Celia Rico Clavellino,2018
Trois jours et une vie,Nicolas Boukhrief,2019
Little Joe,Jessica Hausner,2019
Atlantique,Mati Diop,2019
Une part d'ombre,Samuel Tilman,2017
Les petites robes noires,Bruce Beresford,2018
Rêves de jeunesse,Alain Raoust,2019
L'Insensible,Ivan I. Tverdovsky,2018
Mjólk : la guerre du lait,Grímur Hákonarson,2019
Répétition d'orchestre,Federico Fellini,1978
Les Clowns,Federico Fellini,1970
Les Siffleurs,Corneliu Porumboiu,2019
You Might Be the Killer,Brett Simmons,2018
Koko-di Koko-da,Johannes Nyholm,2019
Donnybrook,Tim Sutton,2018
Viendra le Feu,Olivier Laxe,2019
Vif-Argent,Stéphane Batut,2019
Beautiful Love,Lee Galea,2013
Haut Perchés,"Olivier Ducastel,Jacques Martineau",2019
Temps de chien !,Édouard Deluc,2019
La Fille de Brest,Emmanuelle Bercot,2015
God of Hapiness,Dito Tsintsadze,2015
Happy Birthday,Christos Georgiou,2017
Le Ciel étoilé au-dessus de ma tête,Ilan Klipper,2017
Dirty God,Sacha Polak,2019
Une grande fille,Kantemir Balagov,2019
Allons enfants,Stéphane Demoustier,2018
Désirs interdits,José Célestino Campusano,2019
Never Grow Old,Ivan Kavanagh,2019
Le Bal de l'horreur,Paul Lynch,1980
Ma vie de Courgette,Claude Barras,2015
La Couleur de la victoire,Stephen Hopkins,2016
Un nouveau printemps,Richard LeMay,2012
La Cité de la peur,Alain Berberian,1994
"Joel, une enfance en Patagonie",Carlos Sorin,2018
Problemski Hotel,Manu Riche,2015
Noureev,Ralph Fiennes,2019
Divines,Houda Benyamina,2016
Los Silencios,Beatriz Seigner,2018
Hard Paint,"Filipe Matzembacher,Marcio Reolon",2018
Une fille facile,Rebecca Zlotowski,2019
Fort intérieur,"Ru Kuwahata,Max Porter,Lénaïg Le Moigne,Osman Cerfon,Nienke Deutz,Martina Scarpelli,Samuel Albaric,Martin Wiklund,Ulysse Lefort,Fabien Corre,Kelsi Phung",2018
Un couteau dans le coeur,Yann Gonzalez,2018
À propos d'Elly,Asghar Farhadi,2009
Le Dossier Mona Lina,Eran Riklis,2017
Les Mondes imaginaires de Jean-François Laguionie,Jean-François Laguionie,1970
Una questione privata,"Vittorio Taviani,Paolo Taviani",2017
Le Client,Asghar Farhadi,2016
Le Poirier sauvage,Nuri Bilge Ceylan,2017
La Lune de Jupiter,Kornel Mundruczó,2016
Ma Loute,Bruno Dumont,2016
120 battements par minute,Robin Campillo,2017
El Presidente,Santiago Mitre,2017
Back home,Joachim Trier,2015
La Fête du Feu,Asghar Farhadi,2006
Amanda,Mikhaël Hers,2018
Trois visages,Jafar Panahi,2018
Winter Sleep,Nuri Bilge Ceylan,2013
La Révolution silencieuse,Lars Kraume,2017
Le Caire confidentiel,Tarik Saleh,2016
Ida,Pawel Pawlikowski,2013
"Jeannette, l'enfance de Jeanne d'Arc",Bruno Dumont,2016
Wajib - L'Invitation au mariage,Annemarie Jacir,2017
La Fiancée du désert,"Cecilia Atan,Valeria Pivato",2017
Yuli,Icíar Bollaín,2018
Le Jeune Ahmed,"Jean-Pierre Dardenne,Luc Dardenne",2019
Conséquences,Darko Stante,2018
"So Long, My Son",Wang Xiaoshuai,2019
La Femme de mon frère,Monia Chokri,2018
Sun,"Jonathan Desoindre,Ella Kowalska",2019
303,Hans Weingartner,2018
Nevada,Laure de Clermont-Tonnerre,2018
Buñuel après l'âge d'or,Salvador Simó,2018
Sieranevada,Cristi Puiu,2016
Vita & Virginia,Chanya Button,2018
Noces d'or,Nader T. Homayoun,2019
Patients,"Grand Corps Malade,Mehdi Idir",2016
Les Versets de l'oubli,Alireza Khatami,2017
Piranhas,Claudio Giovannesi,2019
Le Voyage de Marta,Neus Ballus,2019
Persona non grata,Roschdy Zem,2019
Zombi Child,Bertrand Bonello,2019
Acusada,Gonzalo Tobal,2018
3 jours à Quiberon,Emily Atef,2018
Les Étendues imaginaires,Yeo Siew Hua,2018
Un havre de paix,Yona Rozenkier,2018
Un beau petit diable,John Butler,2016
Just Friends,Annemarie van de Mond,2018
Mon meilleur ami,Martín Deus,2018
Le Chant de la forêt,"João Salaviza,Renée Nader Messora",2018
Styx,Wolfgang Fischer,2019
Le Président,Henri Verneuil,1960
Astrid,Pernille Fischer Christensen,2018
Les Nibelungen : la mort de Siegfried,Fritz Lang,1924
SuperGrave,Greg Mottola,2007
Le Vent de la liberté,Michael Herbig,2018
Alice T.,Radu Muntean,2018
The Reports on Sarah and Saleem,Muayad Alayan,2018
Duelles,Olivier Masset-Depasse,2018
Quand nous étions sorcières,"Nietzchkaa Keene,Margret Helga Johanssdottir",1986
Angle Mort,Nabil Ben Yadir,2017
Madame,Amanda Sthers,2017
Frantz,François Ozon,2016
La Belle captive,Alain Robbe-Grillet,1983
JC comme Jésus Christ,Jonathan Zaccaï,2012
Stupéfiants,"Kurt Gerron,Roger Le Bon",1932
Il est charmant,Louis Mercanton,1932
Un tramway à Jérusalem,,2018
90's,Jonah Hill,2018
"Dieu existe, son nom est Petrunya",Teona Strugar Mitevska,2019
Tel Aviv on Fire,Sameh Zoabi,2018
La Femme sur la Lune,Fritz Lang,1929
Les Témoins de Lendsdorf,Amichai Greenberg,2017
Alpha - The Right to Kill,Brillante Mendoza,2018
Les Éternels (Ash is Purest White),Jia Zhangke,2018
Sunset,László Nemes,2018
Avant l'aurore,Nathan Nicholovitch,2015
Liz et l'oiseau bleu,Naoko Yamada,2018
Jessica Forever,"Caroline Poggi,Jonathan Vinel",2018
Tremblements,Jayro Bustamante,2019
Hannah,Andrea Pallaoro,2017
Un chien qui rapporte,Jean Choux,1931
Vidocq,Jacques Daroy,1938
Le Récif de corail,Maurice Gleize,1938
Les Derniers jours de Pompéi,"Mario Bonnard,Sergio Leone",1959
Le Club des soupirants,Maurice Gleize,1940
Abouna (notre père),Mahamat-Saleh Haroun,2002
Hotell,Lisa Langseth,2013
"Amours, délices et orgues",André Berthomieu,1946
Les Nuits moscovites,Alexis Granowsky,1934
Mon Ange,Serge Frydman,2004
Le Jour où Dieu est parti en voyage,Philippe Van Leeuw,2008
Un homme perdu,Danielle Arbid,2007
La Chaleur du sein,Jean Boyer,1938
Les Oiseaux de passage,"Ciro Guerra,Cristina Gallego",2018
Sergio et Sergei,Ernesto Daranas,2017
Dernier amour,Benoît Jacquot,2019
Escale,Louis Valray,1935
Mourir à trente ans,Romain Goupil,1982
Le Film du poilu,Henri Desfontaines,1928
Le Grand cirque,Georges Péclet,1950
Youth,Paolo Sorrentino,2015
La Reconstitution,Lucian Pintilie,1969
Submarino,Thomas Vinterberg,2010
Cal,Christian Martin,2012
Gypsy,Martin Sulík,2011
J'avoue tout,Mark Bessenger,2016
Une nuit à Casablanca,Archie Mayo,1946
Copie Conforme,Abbas Kiarostami,2010
Merci pour le Chocolat,Claude Chabrol,2000
Bingo !,Stewart Wade,2014
Les Aventures extraordinaires de Mr. West au pays des bolcheviks,Lev Kuleshov,1924
"Pororoca, pas un jour ne passe",Constantin Popescu,2017
Genèse,Philippe Lesage,2018
Convoi exceptionnel,Bertrand Blier,2018
Le Hasard,Krzysztof Kieslowski,1987
Local Hero,Bill Forsyth,1983
Ulysse & Mona,Sebastien Betbeder,2018
Soleil brûlant,Vicente Alves do Ô,2018
Tu ne tueras point,Krzysztof Kieslowski,1988
L'Oeuvre au noir,André Delvaux,1988
Les Favoris de la lune,Otar Iosseliani,1984
Trop Belge pour toi,"Pablo Munoz Gomez,Elia Risato,Raphaël Balboni,Xavier Seron,Méryl Fortunat-Rossi,Ann Sirot",2018
Pauvres millionnaires,Dino Risi,1959
Curiosa,Lou Jeunet,2018
La Villa,Robert Guédiguian,2017
La Fée,"Dominique Abel,Fiona Gordon,Bruno Romy",2011
Hôtel du Nord,Marcel Carné,1938
Les Chants de Mandrin,Rabah Ameur-Zaïmeche,2011
Parking,"Jacques Demy,Jacques Demy",1984
Frankie,Fabienne Berthaud,2005
Après mai,Olivier Assayas,2012
Holiday,Guillaume Nicloux,2010
Sans jamais le dire,Tereza Nvotová,2016
Sibel,"Guillaume Giovanetti,Çağla Zencirci",2018
Les Fauves,Vincent Mariette,2018
Celle que vous croyez,Safy Nebbou,2019
Rosetta,"Luc Dardenne,Jean-Pierre Dardenne",1999
Bébé tigre,Cyprien Vial,2014
L'Amour debout,Michaël Dacheux,2018
Louise en hiver,Jean-François Laguionie,2016
"Moi, Maman, ma mère et moi",Christophe Le Masne,2018
Zama,Lucrecia Martel,2017
Lords of Chaos,Jonas Akerlund,2018
Il se passe quelque chose,Anne Alix,2018
Entre les roseaux,Mikko Makela,2017
Abracadabra,Pablo Berger,2017
Cómprame un revólver,Julio Hernández Cordón,2018
Les Estivants,Valéria Bruni Tedeschi,2018
Les Moissonneurs,Etienne Kallos,2018
Le Canard à l'orange,Luciano Salce,1975
Le Prophète,Dino Risi,1968
Ta mort en short(s),"Lucrèce Andreae,Anne Huynh,Anne Baillod,Jean Faravel,Osman Cerfon,Janice Nadeau,Pauline Pinson",2018
Brancaleone s'en va-t-aux croisades,Mario Monicelli,1970
Il Gaucho,Dino Risi,1964
4 Lunes,Sergio Tovar Velarde,2014
Tout ce qu'il me reste de la révolution,Judith Davis,2018
Tout sur ma mère,Pedro Almodóvar,1998
Tartuffe,Friedrich Wilhelm Murnau,1925
Brève histoire d'amour,Krzysztof Kieslowski,1988
L'Amour à la mer,Guy Gilles,1963
Contes de juillet,Guillaume Brac,2017
Le Capitaine Fracasse,Alberto Cavalcanti,1929
Nuestro tiempo,Carlos Reygadas,2018
Hadewijch,Bruno Dumont,2008
Visages d'enfants,Jacques Feyder,1925
Nos vies formidables,Fabienne Godet,2018
Une intime conviction,Antoine Raimbault,2018
Mauvaise Graine,"Billy Wilder,Alexander Esway",1934
Aelita,Yakov Protazanov,1924
Zombie : Le Crépuscule des morts-vivants,George A. Romero,1978
Un ange,Koen Mortier,2018
Class 1984,Mark L. Lester,1982
Les Nuits facétieuses,"Armando Crispino,Luciano Lucignani",1966
Mon Cher enfant,Mohamed Ben Attia,2017
Timgad,Fabrice Benchaouche,2016
Wedding Doll,Nitzan Gilady,2015
Deuxième chance à Brooklyn,Phil Alden Robinson,2014
Kóblic,Sebastián Borensztein,2016
Fukushima mon amour,Doris Dörrie,2015
Hostile,Mathieu Turi,2017
"Patagonia, el invierno",Emiliano Torres,2016
Un grand voyage vers la nuit,Bi Gan,2018
Le Maître du logis,Carl Theodor Dreyer,1925
L'Atlantide,Georg Wilhelm Pabst,1932
Une Chambre en ville,"Jacques Demy,Jacques Demy",1982
L'Homme à la caméra,Dziga Vertov,1929
Vampyr,Carl Theodor Dreyer,1930
Le Désordre et la nuit,Gilles Grangier,1957
Que la fête commence,Bertrand Tavernier,1975
La Rue rouge,Fritz Lang,1945
"New York, 2h du matin",Abel Ferrara,1984
Gorge Cœur Ventre,Maud Alpi,2016
Le Monde d'Andy,Alejandro Andrade,2018
Eva + Candela,Ruth Caudeli,2018
L'Ordre des médecins,David Roux,2017
L'Inhumaine,Marcel L'Herbier,1924
Tout contre elle,Gabriel Le Bomin,2018
Funan,Denis Do,2018
In My Room,Ulrich Köhler,2018
Marche ou crève,Margaux Bonhomme,2018
L'Heure de la sortie,Sébastien Marnier,2018
"Utoya, 22 juillet",Erik Poppe,2018
Monsieur,Rohena Gera,2018
L'Homme fidèle,Louis Garrel,2018
Fractures,Harry Roselmack,2018
Pearl,Elsa Amiel,2018
Le Lieu du crime,André Téchiné,1986
Qui a tué Lady Winsley ?,Hiner Saleem,2018
Un beau voyou,Lucas Bernard,2017
Domingo,"Fellipe Barbosa,Clara Linhart",2018
L'Amateur,Krzysztof Kieslowski,1979
La Permission,Soheil Beiraghi,2018
Une Vie après,Jean-Marc Brondolo,2018
Au pan coupé,Guy Gilles,1968
Lions Love (and Lies),Agnès Varda,1969
Le Clair de terre,Guy Gilles,1969
The Place,Paolo Genovese,2017
Crainquebille,Jacques Feyder,1922
Sans fin,Krzysztof Kieslowski,1985
La Cicatrice,Krzysztof Kieslowski,1976
L'Ordonnance,Victor Tourjansky,1933
Vivre pour survivre,Jean-Marie Pallardy,1985
The Mumbai Murders,Anurag Kashyap,2016
La Vie comme elle vient,Gustavo Pizzi,2018
Les Petits flocons,Joséphine de Meaux,2018
Wildlife : une saison ardente,Paul Dano,2018
Maya,Mia Hansen-Løve,2018
Pupille,Jeanne Herry,2018
Invasion,Shahram Mokri,2017
Mon père,,2017
Sophia Antipolis,Virgil Vernier,2018
"Nous, les coyotes","Hanna Ladoul,Marco La Via",2018
La Tortue rouge,Michael Dudok de Wit,2016
Egon Schiele,Dieter Berner,2016
Ma mère est folle,Diane Kurys,2018
Les Héritières,Marcelo Martinessi,2018
Touch Me Not,Adina Pintilie,2018
Le second souffle,George C. Wolfe,2014
Le Corps et le Fouet,Mario Bava,1963
Diamantino,"Gabriel Abrantes,Daniel Schmidt",2018
Par-courts Gay volume 7,"Jordan Goldnadel,Andrew Keenan-Bolger,Ohm Phanphiroj,Niels Bourgonje,Reid Waterer,Alejandro Beltrán,Joseph A. Adesunloye",2018
Les Confins du monde,Guillaume Nicloux,2018
Voyage à Yoshino,Naomi Kawase,2018
Chéri,Stephen Frears,2009
Sumurun,,1920
Salomé,Carlos Saura,2002
Mon tissu préféré,Gaya Jiji,2018
"Western, famille et communisme",Laurent Krief,2018
Metropolis,Fritz Lang,1927
Petits frères,Jacques Doillon,1998
Snowden,Oliver Stone,2016
American Honey,Andrea Arnold,2016
Trois Couleurs - Rouge,Krzysztof Kieslowski,1994
Django,Etienne Comar,2016
Milla,Valérie Massadian,2017
Belle Dormant,Adolfo Arrieta,2016
Les Bruits de Recife,Kleber Mendonça Filho,2012
The Lobster,"Yorgos Lanthimos,Yorgos Lanthimos",2015
Lou Andreas-Salomé,Cordula Kablitz-Post,2016
After My Death,Ui-Seok Kim,2017
Carmen et Lola,Arantxa Echevarría,2018
Corps étranger,Raja Amari,2016
Amin,Philippe Faucon,2018
Girl,Lukas Dhont,2018
Le Policier,Nadav Lapid,2011
Frères de sang,"Damiano D'Innocenzo,Fabio D'Innocenzo",2018
The Endless,"Justin Benson,Aaron Moorhead",2017
Carla's Song,Ken Loach,1996
Trois Couleurs - Blanc,Krzysztof Kieslowski,1993
"Sami, une jeunesse en Laponie",Amanda Kernell,2016
Ultra rêve,"Bertrand Mandico,Caroline Poggi,Jonathan Vinel,Yann Gonzalez",2017
L'Amour flou,"Romane Bohringer,Philippe Rebbot",2018
Daphné,Peter Mackie Burns,2016
Thunder Road,Jim Cummings,2018
The House That Jack Built,Lars von Trier,2018
La Baie sanglante,Mario Bava,1971
Trois Couleurs - Bleu,Krzysztof Kieslowski,1993
Heureux comme Lazzaro,Alice Rohrwacher,2018
People That Are Not Me,Hadas Ben Aroya,2016
La Particule humaine,Semih Kaplanoğlu,2017
He Loves Me,Konstantinos Menelaou,2018
Cold War,Pawel Pawlikowski,2018
Leave No Trace,Debra Granik,2018
I Feel Good,"Benoît Delépine,Gustave Kervern",2018
Donbass,Sergei Loznitsa,2018
Sofia,Meryem Benm'Barek,2018
The Sea is Behind,Hicham Lasri,2014
Burning,Chang-dong Lee,2018
Mon alter ego,Drew Lint,2017
Nos batailles,Guillaume Senez,2018
England Is Mine,Mark Gill,2017
O Grande Circo Místico,Carlos Diegues,2018
Riga (Take 1),Siegfried,2017
L'Économie du couple,Joachim Lafosse,2015
Much Loved,Nabil Ayouch,2015
Je sais tomber,Alain Tasma,2018
Rafiki,Wanuri Kahiu,2018
Central do Brasil,Walter Salles,1997
Tazzeka,Jean-Philippe Gaud,2018
Leçon de classes,Jan Hrebejk,2016
Nos étoiles,Chris Miera,2017
L'Amour est une fête,Cédric Anger,2018
Un peuple et son roi,Pierre Schoeller,2018
1000 Visages : Cinéastes de demain,"Emma Benestan,Holy Fatma,Laurie Lassalle,Houda Benyamina",2016
C'est qui cette fille,Nathan Silver,2017
Sollers Point - Baltimore,Matt Porterfield,2017
Macadam Baby,Patrick Bossard,2013
Mon Inconnue,Hugo Gélin,2019
24h chez les Martiens,Kurt Neumann,1950
Une vie simple,Ann Hui,2011
Le Père Noël est une ordure,Jean-Marie Poiré,1982
Elles deux,Márta Mészáros,1977
L'Affaire Maurizius,Julien Duvivier,1954
Shadow Days,Zhao Dayong,2014
Lea,Marco Tullio Giordana,2015
René la Canne,Francis Girod,1977
Panic sur Florida Beach,Joe Dante,1993
Le Seul témoin,Peter Hyams,1990
La Faute de l'abbé Mouret,Georges Franju,1970
The Caller,Matthew Parkhill,2011
Du rififi chez les hommes,Jules Dassin,1954
Garçon d'honneur,Ang Lee,1993
Fedora,Billy Wilder,1978
Next of Kin,Tony Williams,1982
Le Massacre des morts-vivants,Jorge Grau,1974
J'ai le droit de vivre,Fritz Lang,1936
Les Visiteurs,Jean-Marie Poiré,1993
Eva,Benoît Jacquot,2017
Prince Noir,James Hill,1971
Le Bonheur,Agnès Varda,1965
Shéhérazade,Jean-Bernard Marlin,2018
Sauvage,Camille Vidal-Naquet,2018
The Last of Us,Ala-Eddine Slim,2016
Seventeen,Monja Art,2017
"L'Une chante, l'autre pas",Agnès Varda,1976
Paul Sanchez est Revenu !,Patricia Mazuy,2018
No dormirás,Gustavo Hernandez,2017
Katie Says Goodbye,Wayne Roberts,2016
"Alberto Giacometti, The Final Portrait",Stanley Tucci,2017
Under the Tree,Hafsteinn Gunnar Sigurðsson,2017
La Tête à l'envers,Josef Hader,2016
La Mauvaise réputation,Iram Haq,2017
Mala Junta,Claudia Huaiquimilla,2016
Tesnota - Une vie à l'étroit,Kantemir Balagov,2016
Manifesto,Julian Rosefeldt,2015
Jacquot de Nantes,Agnès Varda,1990
La Caméra de Claire,Hong Sang-soo,2017
Mary Shelley,Haifaa Al-Mansour,2017
Un Monstre à mille têtes,Rodrigo Plá,2015
Il ou elle,Anahita Ghazvinizadeh,2017
Fortunata,Sergio Castellitto,2017
les Inshortables Volume 4,"Arnaud Dufeys,Benoît Masocco,Sönam Larcin,Gaspard Granie,Anthony Doncque,Christophe Predari,Pascal Latil",2018
My Lady,Richard Eyre,2017
6 courts-métrages d'Henri Diamant-Berger,Henri Diamant-Berger,1917
Vierges,Keren Ben Rafael,2018
Je la connaissais bien,Antonio Pietrangeli,1965
Rue de la paix,Henri Diamant-Berger,1927
Les Anges portent du blanc,Vivian Qu,2017
Florence Foster Jenkins,Stephen Frears,2016
Realive,Mateo Gil,2016
Du soleil dans les yeux,Antonio Pietrangeli,1953
Adua et ses compagnes,Antonio Pietrangeli,1960
Mon ami Machuca,Andrés Wood,2003
Ce sentiment de l'été,Mikhaël Hers,2015
Le Train des épouvantes,Freddie Francis,1964
Les Contes aux limites de la folie,Freddie Francis,1973
Jonas,Christophe Charrier,2018
Ritornu,Pierre-Loup Rajot,2014
The Guilty,Gustav Möller,2017
Au bout du monde,"Richard García,Raúl Portero",2017
Corpo Elétrico,Marcelo Caetano,2017
The Cakemaker,Ofir Raul Graizer,2017
Testostérone,Pierre-Loup Rajot,2007
Jeunes gens,Pierre-Loup Rajot,1995
Dans sa bulle,Pierre-Loup Rajot,2008
Je suis un soldat,Laurent Larivière,2015
Ceci est mon corps,Jérôme Soubeyrand,2014
Poète libre,Vicente Alves do Ô,2017
Interrail,Carmen Alessandrin,2018
Dark River,Clio Barnard,2017
Au poste !,"Quentin Dupieux,Quentin Dupieux",2018
Mon idylle,"Mauro Carvalho,Thiago Cazado",2017
The Strange Ones,"Christopher Radcliff,Lauren Wolkstein",2017
Woman at War,Benedikt Erlingsson,2018
My Pure Land,Sarmad Masud,2017
Une année polaire,Samuel Collardey,2017
Home,Fien Troch,2016
Ma fille,Laura Bispuri,2018
Voix Off,Cristián Jiménez,2014
The Blob,Irvin S. Yeaworth Jr.,1958
Double messieurs,Jean-François Stévenin,1986
Have a Nice Day,Liu Jian,2017
Boulevard,Dito Montiel,2014
Le Voyage au Groenland,Sebastien Betbeder,2016
Jesús : petit criminel,Fernando Guzzoni,2016
Isola,Fabianny Deschamps,2017
La Route sauvage,Andrew Haigh,2017
Une seconde mère,Anna Muylaert,2015
Ce qu'on a,Maxime Desmons,2014
Seul dans Berlin,Vincent Perez,2016
Un adultère,Philippe Harel,2017
Hellraiser : le pacte,Clive Barker,1987
Hellraiser 2 : les écorchés,Tony Randel,1988
Hellraiser 3,Anthony Hickox,1992
En émoi,Chris Michael Birkmeier,2013
Solo,Marcelo Briem Stamm,2013
En Guerre,Stéphane Brizé,2017
"Plaire, aimer et courir vite",Christophe Honoré,2018
"Quiet People, un jour à Zagreb",Ognjen Svilicic,2014
La Guerre est déclarée,Valérie Donzelli,2010
Dans ses yeux,Juan José Campanella,2009
Mixed Kebab,Guy Lee Thys,2011
Mate-me por favor,Anita Rocha da Silveira,2015
Inertia,Idan Haguel,2015
Mes provinciales,Jean Paul Civeyrac,2017
Le Consul de Bordeaux,"Francisco Manso,João Correa",2011
"Cornélius, le meunier hurlant",Yann Le Quellec,2017
Bromance,Lucas Santa Ana,2016
Mustang,Deniz Gamze Ergüven,2015
Mommy,"Xavier Dolan,Xavier Dolan",2013
Alba,Ana Cristina Barragán,2015
Absence,Chico Teixeira,2014
Détective Dee : Le Mystère de la flamme fantôme,Tsui Hark,2010
Bande de filles,Céline Sciamma,2014
Land,Babak Jalali,2017
Michael Kohlhaas,Arnaud des Pallières,2010
"Tharlo, le berger tibétain",Pema Tseden,2015
Otages à Entebbe,José Padilha,2017
Razzia,Nabil Ayouch,2017
Kings,Deniz Gamze Ergüven,2017
L'Amour des hommes,Mehdi Ben Attia,2017
Jersey Affair,Michael Pearce,2017
La clinique du docteur Blanche,Sarah Lévy,2014
The Third Murder,Hirokazu Kore-Eda,2017
Rudderless,William H Macy,2014
La Nuit a dévoré le monde,Dominique Rocher,2017
Après la guerre,Annarita Zambrano,2016
Mobile Homes,Vladimir de Fontenay,2016
Hiroshima mon amour,Alain Resnais,1959
Le Monde perdu,Harry O. Hoyt D'après Le Livre De Sir Arthur Conan Doyle,1925
Yes we can,Olivier Abbou,2011
La Isla Minima,Alberto Rodríguez,2014
Le Diabolique docteur Mabuse,Fritz Lang,1960
Street Trash,James M. Muro,1986
Love is all you need,Susanne Bier,2011
Mario,Marcel Gisler,2018
Les Étoiles restantes,Loïc Paillard,2015
Phantasm 3 : Le Seigneur de la mort,Don Coscarelli,1994
Phantasm 5,David Hartman,2016
Phantasm 4,Don Coscarelli,1997
Phantasm,Don Coscarelli,1978
Bravo Virtuose,Levon Minasian,2016
Phantasm 2,Don Coscarelli,1987
Les Garçons sauvages,Bertrand Mandico,2017
Une Saison en France,Mahamat-Saleh Haroun,2017
Heartstone - un été islandais,Gudmundur Arnar Gudmundsson,2016
Margaret,Rebecca Daly,2016
"Moi, Tonya",Craig Gillespie,2017
L'Année du tigre,Tor Iben,2017
My Entire High School Sinking Into The Sea,Dash Shaw,2016
L'Enfant de Goa,Miransha Nai,2016
Un homme est mort,Olivier Cossu,2017
Rebel in the Rye,Danny Strong,2016
Victor Young Perez,Jacques Ouaniche,2013
Amen,Constantin Costa-Gavras,2002
Le Fils de Sofia,Elina Psykou,2016
Jusqu'à la garde,Xavier Legrand,2017
The Cured,David Freyne,2017
For This is My Body,Paule Muret,2016
Mémoires du sous-developpement,Tomas Gutierrez Alea,1968
La reine Margot,Patrice Chéreau,1993
Le temps des égarés,Virginie Sauveur,2017
Centaure,Aktan Arym Kubat (Aktan Abdykalikov),2016
J'ai tout oublié,Leopoldo Laborde,2016
Gaspard va au mariage,Antony Cordier,2017
Oh Lucy !,Atsuko Hirayanagi,2016
L'homme sans âge,Francis Ford Coppola,2007
Deux mères,Anne Zohra Berrached,2012
L'Amour au temps de la guerre civile,Rodrigue Jean,2014
Amor eterno,Marçal Forés,2014
Boulevard Voltaire,Alexandre Vallès,2017
Vers la lumière,Naomi Kawase,2016
3000 nuits,Maï Masri,2015
Clitopraxis,Emmanuel Laborie,2016
Cœurs purs,Roberto De Paolis,2016
Boudu sauvé des eaux,Jean Renoir,1932
L'Usine de rien,Pedro Pinho,2016
Un homme intègre,Mohammad Rasoulof,2017
I am not a Witch,Rungano Nyoni,2016
"Ana, mon amour",Călin Peter Netzer,2016
Le monocle noir,Georges Lautner,1961
La fièvre monte à El Pao,Luis Buñuel,1959
L'Échange des princesses,Marc Dugain,2017
Les Bienheureux,Sofia Djama,2017
La Moutarde me monte au nez,Claude Zidi,1974
Comet,Sam Esmail,2014
L'Intrusa,Leonardo Di Costanzo,2016
Bons à rien,Gianni Di Gregorio,2014
Tu m'as tellement manqué,Kerstin Karlhuber,2016
Yossi et Jagger,Eytan Fox,2002
Le Match ultime,Antonio Hens,2013
Les Faux-monnayeurs,"Benoît Jacquot,Benoît Jacquot",2010
Crie-le haut et fort,Samel Daboul,2010
Mariana,Marcela Said,2016
Paradis,Andreï Konchalovsky,2016
600 euros,Adnane Tragha,2015
Don Jon,Joseph Gordon Levitt,2013
Le Fossé,Wang Bing,2010
M,Sara Forestier,2016
Avril et le monde truqué,"Franck Ekinci,Christian Desmares",2015
Hawking - La tête dans les étoiles,Philip Martin,2004
La Belle et la meute,Kaouther Ben Hania,2017
Zaineb n'aime pas la neige,Kaouther Ben Hania,2015
Une Pierre dans la bouche,Jean-Louis Leconte,1982
